,mild_cartoon_violence,mild_fantasy_violence,mild_language,mild_lyrics,mild_violence,no_descriptors,nudity,partial_nudity,sexual_content,sexual_themes,simulated_gambling,strong_language,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,esrb_rating
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
157,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
158,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
159,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
161,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
162,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
163,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
164,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
174,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
176,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
188,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
189,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
193,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
203,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
204,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
205,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
207,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
212,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
214,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
224,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
225,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
226,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
228,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
236,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
241,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
242,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
