,mild_blood,mild_fantasy_violence,mild_language,mild_suggestive_themes,mild_violence,no_descriptors,nudity,partial_nudity,sexual_content,sexual_themes,simulated_gambling,strong_language,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,esrb_rating
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
270,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1529,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
746,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3
1039,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1870,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
1522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
365,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
924,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1048,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
256,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
1868,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1582,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1486,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
934,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1204,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1369,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1847,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1829,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
